#SampleID	plot	Caged	Nutrients	Coral	Genus	Species	initial_diameter_cm	tissue_change_score	tissue_change_percent	dead_by_end	pfish_bites	binary_tissue_loss	tissue_loss	DSS	Dictytoa	Amphiroa	Sargassum	Halimeda	Turf	Sediment	Cyanobacteria	Algae	AlgaeAndSediment	Bleached
4NC2_M	4	1	1	M	Meandrina	Meandrina	20	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4NC2_PA1	4	1	1	PA1	Porites	P porites	5	6	250	No	No	No	Gain	No	No	Yes	No	No	No	No	No	Yes	No	No
4NC2_PA3	4	1	1	PA3	Porites	P porites	2	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	No	No
4NC2_PA4	4	1	1	PA4	Porites	P porites	2.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
4NU1_AG2	4	0	1	AG2	Agaricia	A agaricites	5	-2	-18	No	No	Yes	Loss	No	No	No	No	No	Yes	No	Yes	Yes	No	No
4NU1_PA2	4	0	1	PA2	Porites	P porites	2	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	No	No	No	No	No	No	Yes	No	No
4NU1_SS2	4	0	1	SS2	Siderastrea	S siderea	2	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4NU2_DC1	4	0	1	DC1	Dichocoenia	Dichocoenia	15	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4NU2_DC2	4	0	1	DC2	Dichocoenia	Dichocoenia	3	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
4NU2_PP1	4	0	1	PP1	Porites	P porites	3	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	No	No
